area_type,availability,location,size,society,total_sqft,bath,balcony,price
Built-up  Area,Ready To Move,"Block D, Mansurabad Housing Society, Adabor, Dhaka",2 Bedroom,N/A,1280,2,1,69
Plot  Area,Ready To Move,"Block C, Bashundhara R-A, Dhaka",4 Bedroom,N/A,1200,2,0,95
Built-up  Area,Ready To Move,"Mohakhali DOHS, Dhaka",2 BHK,N/A,1025,2,2,36
Super built-up  Area,17-Jun,"Mohakhali DOHS, Dhaka",2 BHK,N/A,1108,2,1,63
Plot  Area,Ready To Move,"Block K, Bashundhara R-A, Dhaka",5 Bedroom,N/A,1200,5,,170
Super built-up  Area,Ready To Move,"Block K, Bashundhara R-A, Dhaka",3 BHK,N/A,3045,3,2,170
Plot  Area,Ready To Move,"Faydabad, Dakshin Khan, Dhaka",4 Bedroom,N/A,2900,3,2,300
Super built-up  Area,Ready To Move,"Banani, Dhaka",3 BHK,N/A,1500,3,2,75.5
Super built-up  Area,Ready To Move,"Sector 11, Uttara, Dhaka",2 BHK,N/A,1295,2,2,43.9
Super built-up  Area,Ready To Move,"Block A, Bashundhara R-A, Dhaka",2 BHK,N/A,1162,2,1,59.9
Super built-up  Area,Ready To Move,"Sector 10, Uttara, Dhaka",2 BHK,N/A,1035,2,2,49.2
Built-up  Area,Ready To Move,"Sector 13, Uttara, Dhaka",4 Bedroom,N/A,1600,4,0,52.8
Super built-up  Area,Ready To Move,"Sector 1, Uttara, Dhaka",3 BHK,N/A,1464,3,2,46
Super built-up  Area,18-Oct,"Jigatola, Hazaribag, Dhaka",3 BHK,N/A,1866,2,2,61.58
Super built-up  Area,Ready To Move,"Sector 13, Uttara, Dhaka",2 BHK,N/A,700,1,1,26
Super built-up  Area,Ready To Move,"Block J, Baridhara, Dhaka",3 BHK,N/A,1804,3,2,120
Super built-up  Area,Ready To Move,"Kallyanpur, Mirpur, Dhaka",2 BHK,N/A,913,2,1,32
Super built-up  Area,21-Dec,"Shyamoli Housing, Shekhertek, Mohammadpur, Dhaka",3 BHK,N/A,1868,3,2,131
Built-up  Area,Ready To Move,"Gulshan 1, Gulshan, Dhaka",2 BHK,N/A,883,2,1,45
Plot  Area,Ready To Move,"Baridhara, Dhaka",2 Bedroom,N/A,900,2,1,110
Super built-up  Area,Ready To Move,"Baridhara, Dhaka",3 BHK,N/A,1664,2,3,73.95
Super built-up  Area,Ready To Move,"Wari, Sutrapur, Dhaka",3 BHK,N/A,2026,3,2,132
Super built-up  Area,Ready To Move,"Dhanmondi, Dhaka",2 BHK,N/A,1210,2,1,80.9
Plot  Area,Ready To Move,"Gulshan 1, Gulshan, Dhaka",4 Bedroom,N/A,4111,4,2,250
Super built-up  Area,Ready To Move,"Block J, Bashundhara R-A, Dhaka",3 BHK,N/A,1762,3,3,91.45
Super built-up  Area,Ready To Move,"Sector 1, Uttara, Dhaka",3 BHK,N/A,1252,3,3,55
Built-up  Area,Ready To Move,"Dhanmondi, Dhaka",2 BHK,N/A,861,2,1,34.5
Built-up  Area,Ready To Move,"Mohammadpur, Dhaka",3 BHK,N/A,1420,2,1,100
Plot  Area,Ready To Move,"Banani, Dhaka",6 Bedroom,N/A,1450,6,0,250
Built-up  Area,Ready To Move,"Sector 5, Uttara, Dhaka",3 BHK,N/A,1490,3,1,78.8
Super built-up  Area,Ready To Move,"Gulshan 2, Gulshan, Dhaka",3 BHK,N/A,1075,2,1,46
Super built-up  Area,18-Aug,"Block D, Bashundhara R-A, Dhaka",3 BHK,N/A,1425,2,2,94
Built-up  Area,Ready To Move,"Mirpur, Dhaka",2 BHK,N/A,1200,2,1,40
Super built-up  Area,Ready To Move,"Hatirpool, Dhaka",3 BHK,N/A,1280,2,2,56
Super built-up  Area,Ready To Move,"South Pirerbag, Pirerbag, Mirpur, Dhaka",2 BHK,N/A,1084,2,2,50
Super built-up  Area,18-Jul,"Gulshan 2, Gulshan, Dhaka",2 BHK,N/A,1015,2,2,25.88
Super built-up  Area,21-May,"Dhaka Real Estate, Katashur, Mohammadpur, Dhaka",2 BHK,N/A,1017,2,1,51.25
Super built-up  Area,Ready To Move,"Sector 13, Uttara, Dhaka",2 BHK,N/A,1027,2,2,44
Super built-up  Area,Ready To Move,"Sector 5, Uttara, Dhaka",2 BHK,N/A,1069,2,2,45
Super built-up  Area,Ready To Move,"Block C, Bashundhara R-A, Dhaka",2 BHK,N/A,1349,2,1,98.2
Super built-up  Area,Ready To Move,"Sector 5, Uttara, Dhaka",2 BHK,N/A,1005,2,1,50
Super built-up  Area,Ready To Move,"Block C, Bashundhara R-A, Dhaka",2 BHK,N/A,1417,2,3,75
Plot  Area,18-Jan,"Sector 12, Uttara, Dhaka",3 Bedroom,N/A,1475,3,1,98
Carpet  Area,Ready To Move,"Block C, Section 2, Mirpur, Dhaka",2 BHK,N/A,950,2,2,47
Super built-up  Area,Ready To Move,"Dhanmondi, Dhaka",4 BHK,N/A,2000,4,0,120
Plot  Area,Ready To Move,"Sector 13, Uttara, Dhaka",3 Bedroom,N/A,880,3,1,140
Super built-up  Area,Ready To Move,"Sector 5, Uttara, Dhaka",4 BHK,N/A,1863,3,2,104
Super built-up  Area,Ready To Move,"East Merul Badda, Merul Badda, Badda, Dhaka",2 BHK,N/A,1010,2,1,29.5
Super built-up  Area,Ready To Move,"Sector 5, Uttara, Dhaka",3 BHK,N/A,1425,2,1,70
Super built-up  Area,Ready To Move,"Taltola, Agargaon, Dhaka",3 BHK,N/A,1450,3,0,100
Super built-up  Area,Ready To Move,"Gulshan 2, Gulshan, Dhaka",3 BHK,N/A,1847,3,2,105
Super built-up  Area,Ready To Move,"Block J, Bashundhara R-A, Dhaka",2 BHK,N/A,1100,2,3,45
Super built-up  Area,20-Dec,"Sector 11, Uttara, Dhaka",1 BHK,N/A,525,1,1,26
Super built-up  Area,Ready To Move,"Block F, Bashundhara R-A, Dhaka",3 BHK,N/A,1665,3,2,95
Super built-up  Area,Ready To Move,"Gawair, Dakshin Khan, Dhaka",4 BHK,N/A,1664,4,3,65
Super built-up  Area,Ready To Move,"Block D, Bashundhara R-A, Dhaka",3 BHK,N/A,1850,3,3,150
Super built-up  Area,Ready To Move,"Sector 5, Uttara, Dhaka",2 BHK,N/A,1438,2,3,100
Super built-up  Area,Ready To Move,"Mollika R/A, Section 7, Mirpur, Dhaka",3 BHK,N/A,1560,3,3,115
Super built-up  Area,18-Apr,"Mollika R/A, Section 7, Mirpur, Dhaka",2 BHK,N/A,1350,2,1,55.55
Super built-up  Area,Ready To Move,"Mohammadpur, Dhaka",3 BHK,N/A,1550,3,3,67
Super built-up  Area,18-Apr,"Eskaton, Dhaka",2 BHK,N/A,1140,2,2,46.5
Plot  Area,Ready To Move,"Sector 12, Uttara, Dhaka",5 Bedroom,N/A,1200,5,2,180
Super built-up  Area,18-Dec,"West Shewrapara, Mirpur, Dhaka",2 BHK,N/A,850,2,2,27
Super built-up  Area,Ready To Move,"Banani, Dhaka",2 BHK,N/A,1280,2,2,75
Built-up  Area,Ready To Move,"Sector 14, Uttara, Dhaka",2 BHK,N/A,1170,2,2,52
Super built-up  Area,Ready To Move,"Sector 4, Uttara, Dhaka",2 BHK,N/A,1113,2,1,51
Super built-up  Area,Ready To Move,"Block G, Bashundhara R-A, Dhaka",2 BHK,N/A,1385,2,1,83.09
Super built-up  Area,18-Apr,"Sector 3, Uttara, Dhaka",2 BHK,N/A,1128,2,1,65
Plot  Area,Ready To Move,"Block B, Bashundhara R-A, Dhaka",2 Bedroom,N/A,1200,2,2,128
Plot  Area,Ready To Move,"Block H, Bashundhara R-A, Dhaka",4 Bedroom,N/A,1200,4,3,165
Super built-up  Area,Ready To Move,"Road No 4, Block G, Bashundhara R-A, Dhaka",3 BHK,N/A,2390,3,2,415
Plot  Area,Ready To Move,"Badda, Dhaka",4 Bedroom,N/A,2400,4,1,400
Super built-up  Area,Ready To Move,"Sector 3, Uttara, Dhaka",3 BHK,N/A,1464,3,2,56
Super built-up  Area,Ready To Move,"Gulbag, Malibagh, Dhaka",2 BHK,N/A,1200,2,2,55
Super built-up  Area,Ready To Move,"Jamtola, East Rampura, Rampura, Dhaka",2 BHK,N/A,1200,2,2,52
Super built-up  Area,Ready To Move,"Gulshan 1, Gulshan, Dhaka",3 BHK,N/A,1150,2,1,55
Built-up  Area,Ready To Move,"Middle Monipur, Mirpur, Dhaka",3 BHK,N/A,1645,3,2,95
Super built-up  Area,20-Mar,"Baridhara, Dhaka",2 BHK,N/A,1000,2,1,67
Plot  Area,Ready To Move,"Banani, Dhaka",4 Bedroom,N/A,2650,4,2,198
Super built-up  Area,Ready To Move,"Sector 3, Uttara, Dhaka",2 BHK,N/A,1192,2,2,74
Super built-up  Area,Ready To Move,"Tejkunipara, Tejgaon, Dhaka",3 BHK,N/A,2135,3,2,215
Super built-up  Area,19-Dec,"Gulshan 2, Gulshan, Dhaka",2 BHK,N/A,1173,2,1,58
Built-up  Area,Ready To Move,"Sector 13, Uttara, Dhaka",2 BHK,N/A,1020,2,2,45
Super built-up  Area,Ready To Move,"Sector 12, Uttara, Dhaka",4 BHK,N/A,3122,6,2,230
Super built-up  Area,Ready To Move,"Baridhara, Dhaka",3 BHK,N/A,1600,3,3,64
Plot  Area,18-Mar,"Block C, Nobodoy Housing Society, Mohammadpur, Dhaka",2 Bedroom,N/A,1200,2,0,79
Carpet  Area,Ready To Move,"South Monipur, Mirpur, Dhaka",2 BHK,N/A,1230,2,3,48
Super built-up  Area,Ready To Move,"West Shewrapara, Mirpur, Dhaka",2 BHK,N/A,1250,2,2,40
Super built-up  Area,Ready To Move,"Block G, Bashundhara R-A, Dhaka",2 BHK,N/A,1325,2,2,76
Built-up  Area,Ready To Move,"Block G, Bashundhara R-A, Dhaka",3 BHK,N/A,1850,3,1,150
Super built-up  Area,21-Dec,"Block D, Bashundhara R-A, Dhaka",1 BHK,N/A,525,,,21.53
Super built-up  Area,Ready To Move,"Block K, Bashundhara R-A, Dhaka",2 BHK,N/A,1200,2,2,65
Plot  Area,Ready To Move,"Sector 9, Uttara, Dhaka",3 Bedroom,N/A,1350,2,0,140
Super built-up  Area,18-Jun,"Block D, Bashundhara R-A, Dhaka",3 BHK,N/A,1260,3,1,49.36
Super built-up  Area,Ready To Move,"Block D, Bashundhara R-A, Dhaka",3 BHK,N/A,1800,3,0,150
Plot  Area,18-Dec,"Monipuripara, Tejgaon, Dhaka",3 Bedroom,N/A,11,3,2,74
Built-up  Area,Ready To Move,"Gulbag, Malibagh, Dhaka",2 BHK,N/A,1100,2,1,43.25
Super built-up  Area,Ready To Move,"Road No 5, Sector 10, Uttara, Dhaka",2 BHK,N/A,1508,2,1,77
Carpet  Area,Ready To Move,"Sector 10, Uttara, Dhaka",3 BHK,N/A,1592,3,2,75
Super built-up  Area,Ready To Move,"Baridhara, Dhaka",2 BHK,N/A,1388,2,3,57
Super built-up  Area,18-May,"Block I, Bashundhara R-A, Dhaka",1 BHK,N/A,630,1,1,28.35
Plot  Area,Ready To Move,"Sector 10, Uttara, Dhaka",3 Bedroom,N/A,2000,3,2,365
Super built-up  Area,Ready To Move,"Pallabi Extension, Pallabi, Mirpur, Dhaka",3 BHK,N/A,1762,3,1,125
Super built-up  Area,21-Dec,"Shantibag, Malibagh, Dhaka",2 BHK,N/A,950,2,2,50
Super built-up  Area,Ready To Move,"Block C, Bashundhara R-A, Dhaka",4 BHK,N/A,3252,5,3,335
Super built-up  Area,18-Aug,"Block A, Bashundhara R-A, Dhaka",2 BHK,N/A,1116,2,1,50
Super built-up  Area,Ready To Move,"Modhubag, Boro Maghbazar, Maghbazar, Dhaka",2 BHK,N/A,1308,2,2,89.04
Super built-up  Area,Ready To Move,"Sector 13, Uttara, Dhaka",3 BHK,N/A,1200,3,0,90
Plot  Area,Ready To Move,"Block L, Bashundhara R-A, Dhaka",4 Bedroom,N/A,1500,4,2,230
Built-up  Area,Ready To Move,"Sector 4, Uttara, Dhaka",1 BHK,N/A,500,1,1,18.5
Super built-up  Area,Ready To Move,"Baridhara, Dhaka",2 BHK,N/A,1075,2,1,52
Super built-up  Area,18-Mar,"Banani, Dhaka",1 BHK,N/A,530,1,0,11.66
Built-up  Area,Ready To Move,"Dhanmondi, Dhaka",2 BHK,N/A,1205,2,3,66
Super built-up  Area,Ready To Move,"Sector 3, Uttara, Dhaka",2 BHK,N/A,1075,2,2,60
Built-up  Area,Ready To Move,"Block H, Bashundhara R-A, Dhaka",2 BHK,N/A,930,2,2,39
Super built-up  Area,Ready To Move,"Block B, Bashundhara R-A, Dhaka",2 BHK,N/A,1380,2,1,60
Super built-up  Area,Ready To Move,"South Pirerbag, Pirerbag, Mirpur, Dhaka",4 BHK,N/A,2483,5,2,212
Built-up  Area,Ready To Move,"Dhanmondi, Dhaka",2 BHK,N/A,1166,2,2,55
Super built-up  Area,Ready To Move,"Sector 11, Uttara, Dhaka",2 BHK,N/A,1050,2,1,65
Super built-up  Area,19-Mar,"Road No 5, Sector 10, Uttara, Dhaka",3 BHK,N/A,2023.71,3,2,275
Super built-up  Area,Ready To Move,"Banani, Dhaka",2 BHK,N/A,1200,2,2,46.8
Super built-up  Area,Ready To Move,"Banani, Dhaka",3 BHK,N/A,1600,2,1,108
Super built-up  Area,Ready To Move,"Banani, Dhaka",3 BHK,N/A,1935,3,2,110
Super built-up  Area,18-May,"Block J, Baridhara, Dhaka",1 BHK,N/A,451,1,0,29.9
Super built-up  Area,Ready To Move,"Banani, Dhaka",3 BHK,N/A,1800,3,2,95
Super built-up  Area,18-May,"Avenue 1, Mirpur DOHS, Mirpur, Dhaka",3 BHK,N/A,1400,3,0,77
Super built-up  Area,Ready To Move,"Nikunja 2, Nikunja, Dhaka",3 BHK,N/A,1801,3,2,115
Built-up  Area,Ready To Move,"Block D, Section 12, Mirpur, Dhaka",2 BHK,N/A,1451,2,,90
Plot  Area,19-Jan,"Sector 4, Uttara, Dhaka",2 Bedroom,N/A,1200,1,1,36
Super built-up  Area,Ready To Move,"South Pirerbag, Pirerbag, Mirpur, Dhaka",2 BHK,N/A,1160,2,2,44
Built-up  Area,Ready To Move,"Block A, Niketan, Dhaka",2 BHK,N/A,1000,2,1,25
Super built-up  Area,Ready To Move,"Block I, Bashundhara R-A, Dhaka",2 BHK,N/A,950,2,1,40
Built-up  Area,20-Dec,"Malibagh, Dhaka",3 BHK,N/A,1629,3,2,79
Built-up  Area,Ready To Move,"Block A, Bashundhara R-A, Dhaka",3 BHK,N/A,1580,2,0,134
Super built-up  Area,21-Jun,"Cantonment, Dhaka",3 BHK,N/A,1826,3,2,121
Built-up  Area,Ready To Move,"Sector 10, Uttara, Dhaka",2 BHK,N/A,1245,2,1,94
Super built-up  Area,Ready To Move,"Block D, Bashundhara R-A, Dhaka",2 BHK,N/A,1145,2,2,45.79
Super built-up  Area,Ready To Move,"Sector 10, Uttara, Dhaka",2 BHK,N/A,825,2,1,33
Super built-up  Area,18-Aug,"Block C, Bashundhara R-A, Dhaka",3 BHK,N/A,1693,3,3,108
Super built-up  Area,Ready To Move,"Block A, Sat Masjid Housing, Mohammadpur, Dhaka",2 BHK,N/A,1113.27,2,2,53
Built-up  Area,Ready To Move,"Block H, Banasree, Dhaka",2 BHK,N/A,1460,2,1,58
Built-up  Area,Ready To Move,"Niketan, Dhaka",2 BHK,N/A,1050,2,1,32
Built-up  Area,Ready To Move,"Sector 10, Uttara, Dhaka",2 BHK,N/A,1260,2,2,55
Super built-up  Area,Ready To Move,"Sector 12, Uttara, Dhaka",6 BHK,N/A,700,3,,120
Built-up  Area,Ready To Move,"Block C, Bashundhara R-A, Dhaka",2 BHK,N/A,1656,2,1,120
Super built-up  Area,Ready To Move,"Shahbagh, Dhaka",3 BHK,N/A,1208,3,1,45
Super built-up  Area,Ready To Move,"Dhanmondi, Dhaka",3 BHK,N/A,1910,3,2,161
Super built-up  Area,Ready To Move,"Block A, Sat Masjid Housing, Mohammadpur, Dhaka",4 BHK,N/A,3252,4,1,230
Plot  Area,Ready To Move,"PC Culture Housing, Mohammadpur, Dhaka",2 Bedroom,N/A,1200,2,1,65
Super built-up  Area,Ready To Move,"Sector 11, Uttara, Dhaka",4 BHK,N/A,1200,4,1,175
Super built-up  Area,Ready To Move,"Sector 11, Uttara, Dhaka",2 BHK,N/A,1175,2,1,82
Plot  Area,Ready To Move,"Sector 11, Uttara, Dhaka",2 Bedroom,N/A,1000,2,0,165
Plot  Area,Ready To Move,"Block D, Bashundhara R-A, Dhaka",4 Bedroom,N/A,1200,2,0,125
Super built-up  Area,Ready To Move,"Baridhara DOHS, Dhaka",3 BHK,N/A,2390,3,2,410
Super built-up  Area,19-Jan,"Sector 11, Uttara, Dhaka",7 BHK,N/A,12000,6,3,2200
Plot  Area,Ready To Move,"Sector 11, Uttara, Dhaka",2 Bedroom,N/A,550,1,1,62
Super built-up  Area,Ready To Move,"Banasree, Dhaka",1 BHK,N/A,34.46Sq. Meter,1,0,18.5
Super built-up  Area,Ready To Move,"Sector 4, Uttara, Dhaka",2 BHK,N/A,1185,2,,38
Super built-up  Area,Ready To Move,"Nikunja 2, Nikunja, Dhaka",2 BHK,N/A,750,2,1,38
Plot  Area,Ready To Move,"Baitul Aman Housing Society, Adabor, Dhaka",6 Bedroom,N/A,1200,7,3,250
Super built-up  Area,Ready To Move,"Block E, Banasree, Dhaka",3 BHK,N/A,1550,3,3,64.5
Built-up  Area,Ready To Move,"Baridhara, Dhaka",3 BHK,N/A,1760,3,2,88
Super built-up  Area,Ready To Move,"Gulshan 2, Gulshan, Dhaka",2 BHK,N/A,1125,2,2,62
Plot  Area,Ready To Move,"Uttar Badda, Badda, Dhaka",3 Bedroom,N/A,1350,3,2,150
Plot  Area,17-Dec,"Sector 4, Uttara, Dhaka",2 Bedroom,N/A,1000,2,1,55
Built-up  Area,18-Aug,"Khilkhet, Dhaka",2 BHK,N/A,1090,2,2,31.48
Plot  Area,Ready To Move,"Baridhara, Dhaka",2 Bedroom,N/A,1200,2,0,60
Super built-up  Area,Ready To Move,"Block D, Bashundhara R-A, Dhaka",3 BHK,N/A,1991,4,2,103
Super built-up  Area,18-Oct,"Pirerbag, Mirpur, Dhaka",2 BHK,N/A,1060,2,1,26.5
Super built-up  Area,Ready To Move,"Block B, Bashundhara R-A, Dhaka",2 BHK,N/A,1105,2,1,75
Built-up  Area,Ready To Move,"Baridhara DOHS, Dhaka",2 BHK,N/A,985,2,2,67
Plot  Area,Ready To Move,"Block C, Bashundhara R-A, Dhaka",6 Bedroom,N/A,1533,5,3,85
Super built-up  Area,17-Jul,"Mohammadi Housing LTD., Mohammadpur, Dhaka",3 BHK,N/A,1590,3,2,79
Super built-up  Area,Ready To Move,"Uttar Badda, Badda, Dhaka",2 BHK,N/A,1120,2,2,55
Super built-up  Area,Ready To Move,"Block F, Bashundhara R-A, Dhaka",2 BHK,N/A,1069,2,1,55
Super built-up  Area,Ready To Move,"Gulshan 1, Gulshan, Dhaka",3 BHK,N/A,1933,3,2,140
Built-up  Area,16-Mar,"Malibagh, Dhaka",2 BHK,N/A,1194,2,0,69
Super built-up  Area,Ready To Move,"Baitul Aman Housing Society, Adabor, Dhaka",2 BHK,N/A,1150,2,3,69
Super built-up  Area,Ready To Move,"Cantonment, Dhaka",2 BHK,N/A,1240,2,2,47.12
Super built-up  Area,Ready To Move,"Block A, Nobodoy Housing Society, Mohammadpur, Dhaka",2 BHK,N/A,1419,2,2,48.1
Plot  Area,Ready To Move,"Banani, Dhaka",8 Bedroom,N/A,1200,8,,250
Super built-up  Area,Ready To Move,"Baitul Aman Housing Society, Adabor, Dhaka",3 BHK,N/A,2150,4,,240
Super built-up  Area,Ready To Move,"Uttara, Dhaka",3 BHK,N/A,1450,3,2,55
Super built-up  Area,18-Jul,"Block A, Chad Uddan Housing, Mohammadpur, Dhaka",3 BHK,N/A,1630,3,2,68.29
Super built-up  Area,Ready To Move,"Block G, Bashundhara R-A, Dhaka",2 BHK,N/A,708,1,1,40
Plot  Area,Ready To Move,"Block H, Banasree, Dhaka",3 Bedroom,N/A,1000,4,3,110
Plot  Area,Ready To Move,"Gulshan 2, Gulshan, Dhaka",4 Bedroom,N/A,11890,4,3,700
Super built-up  Area,Ready To Move,"Dhanmondi, Dhaka",2 BHK,N/A,1250,2,1,76
Super built-up  Area,Ready To Move,"Monipuripara, Tejgaon, Dhaka",3 BHK,N/A,1400,2,1,95
Super built-up  Area,Ready To Move,"Block C, Bashundhara R-A, Dhaka",3 BHK,N/A,1670,2,3,57
Super built-up  Area,Ready To Move,"Tejgaon, Dhaka",3 BHK,N/A,1750,3,2,100
Super built-up  Area,Ready To Move,"Uttara, Dhaka",2 BHK,N/A,1404,2,1,71
Super built-up  Area,Ready To Move,"Block G, Bashundhara R-A, Dhaka",3 BHK,N/A,1715,2,2,95
Built-up  Area,18-Apr,"Gulshan 2, Gulshan, Dhaka",1 BHK,N/A,630,1,1,34.65
Super built-up  Area,Ready To Move,"Baitul Aman Housing Society, Adabor, Dhaka",3 BHK,N/A,1752.12,3,2,135
Super built-up  Area,Ready To Move,"Baitul Aman Housing Society, Adabor, Dhaka",3 BHK,N/A,1650,3,2,78
Super built-up  Area,Ready To Move,"Mirpur, Dhaka",2 BHK,N/A,1295,2,1,55.47
Plot  Area,Ready To Move,"Mirpur, Dhaka",3 Bedroom,N/A,1800,3,2,252
Super built-up  Area,18-Sep,"Baitul Aman Housing Society, Adabor, Dhaka",2 BHK,N/A,1346,2,1,74.03
Plot  Area,Ready To Move,"Block C, Bashundhara R-A, Dhaka",4 Bedroom,N/A,1200,4,2,200
Super built-up  Area,Ready To Move,"East Goran, Goran, Khilgaon, Dhaka",2 BHK,N/A,1150,2,2,55
Built-up  Area,Ready To Move,"Khilgaon, Dhaka",4 Bedroom,N/A,3309,4,3,325
Super built-up  Area,18-May,"Mohammadpur, Dhaka",3 BHK,N/A,1190,2,2,30.35
Super built-up  Area,Ready To Move,"Sector 3, Uttara, Dhaka",3 BHK,N/A,1620,3,2,98
Super built-up  Area,18-Apr,"Mohammadpur, Dhaka",2 BHK,N/A,950,2,1,46.96
Super built-up  Area,Ready To Move,"Shyamoli Housing, Shekhertek, Mohammadpur, Dhaka",11 BHK,N/A,5000,9,3,360
Super built-up  Area,Ready To Move,"Mirpur, Dhaka",3 BHK,N/A,2450,3,0,120
Super built-up  Area,18-May,"Baridhara, Dhaka",3 BHK,N/A,1220,2,1,35.23
Super built-up  Area,Ready To Move,"Block B, Aftab Nagar, Dhaka",2 BHK,N/A,850,2,1,30
Built-up  Area,Ready To Move,"Sector 11, Uttara, Dhaka",2 BHK,N/A,1020,2,2,63
Built-up  Area,Ready To Move,"Baitul Aman Housing Society, Adabor, Dhaka",2 BHK,N/A,1100,2,2,50
Super built-up  Area,Ready To Move,"Block H, Bashundhara R-A, Dhaka",2 BHK,N/A,1150,2,2,126
Super built-up  Area,18-Dec,"Section 12, Mirpur, Dhaka",3 BHK,N/A,1760,2,2,130
Super built-up  Area,Ready To Move,"Lalmatia, Dhaka",3 BHK,N/A,1800,3,3,110
Super built-up  Area,Ready To Move,"Block H, Bashundhara R-A, Dhaka",2 BHK,N/A,1070,2,1,54
Plot  Area,Ready To Move,"Gulshan 2, Gulshan, Dhaka",4 Bedroom,N/A,1500,4,2,220
Plot  Area,Ready To Move,"Mohammadi Housing LTD., Mohammadpur, Dhaka",2 Bedroom,N/A,1440,2,0,95
Super built-up  Area,Ready To Move,"Baitul Aman Housing Society, Adabor, Dhaka",2 BHK,N/A,900,2,1,40
Built-up  Area,Ready To Move,"Block D, Bashundhara R-A, Dhaka",4 BHK,N/A,1200,4,1,230
Super built-up  Area,18-May,"Sector 10, Uttara, Dhaka",2 BHK,N/A,1130,2,1,42.16
Super built-up  Area,Ready To Move,"Block C, Bashundhara R-A, Dhaka",2 BHK,N/A,1320,2,1,165
Super built-up  Area,19-Jun,"South Monipur, Mirpur, Dhaka",2 BHK,N/A,1270,2,1,98
Built-up  Area,Ready To Move,"Block G, Bashundhara R-A, Dhaka",2 BHK,N/A,1200,2,1,62
Super built-up  Area,Ready To Move,"Block F, Bashundhara R-A, Dhaka",4 BHK,N/A,4800,4,,235
Super built-up  Area,Ready To Move,"Baitul Aman Housing Society, Adabor, Dhaka",2 BHK,N/A,1200,2,1,74
Super built-up  Area,Ready To Move,"Mohammadpur, Dhaka",2 BHK,N/A,929,2,0,50.17
Built-up  Area,Ready To Move,"Malibagh, Dhaka",4 BHK,N/A,1150,4,2,260
Plot  Area,Ready To Move,"Baridhara, Dhaka",4 Bedroom,N/A,1125,4,3,180
Plot  Area,Ready To Move,"Mohammadia Housing Society, Mohammadpur, Dhaka",5 Bedroom,N/A,500,3,2,65
Plot  Area,Ready To Move,"Block H, Bashundhara R-A, Dhaka",5 Bedroom,N/A,1200,5,2,190
Super built-up  Area,Ready To Move,"Sector 6, Uttara, Dhaka",3 BHK,N/A,1464,3,2,56
Super built-up  Area,Ready To Move,"Block K, Baridhara, Dhaka",4 BHK,N/A,3600,4,3,400
Plot  Area,Ready To Move,"Gulshan 2, Gulshan, Dhaka",4 Bedroom,N/A,2000,4,2,99
Super built-up  Area,Ready To Move,"Baridhara, Dhaka",2 BHK,N/A,1208,2,1,49
Super built-up  Area,Ready To Move,"Banani, Dhaka",2 BHK,N/A,1130,2,2,60
Super built-up  Area,Ready To Move,"Sector 9, Uttara, Dhaka",3 BHK,N/A,1753,3,2,120
Super built-up  Area,Ready To Move,"Gulshan 1, Gulshan, Dhaka",5 BHK,N/A,4500,7,3,337
Plot  Area,Ready To Move,"Sector 3, Uttara, Dhaka",3 Bedroom,N/A,600,3,2,58
Super built-up  Area,22-Jun,"Sector 1, Uttara, Dhaka",2 BHK,N/A,1196,2,2,94.42
Built-up  Area,Ready To Move,"Section 10, Mirpur, Dhaka",2 BHK,N/A,1150,3,3,52.5
Super built-up  Area,18-Apr,"Sector 14, Uttara, Dhaka",2 BHK,N/A,1128,2,1,63
Super built-up  Area,Ready To Move,"Gulshan 1, Gulshan, Dhaka",2 BHK,N/A,1000,2,1,53
Super built-up  Area,Ready To Move,"Dakkhin Paikpara, Paikpara, Mirpur, Dhaka",2 BHK,N/A,1035,2,1,45
Built-up  Area,Ready To Move,"Dhanmondi, Dhaka",2 BHK,N/A,950,2,1,32
Super built-up  Area,Ready To Move,"Banani, Dhaka",3 BHK,N/A,1075,2,1,36
Super built-up  Area,Ready To Move,"Sector 3, Uttara, Dhaka",2 BHK,N/A,1040,2,1,48.5
Plot  Area,17-Oct,"PC Culture Housing, Mohammadpur, Dhaka",2 Bedroom,N/A,720,2,1,45
Super built-up  Area,Ready To Move,"Mirpur, Dhaka",3 BHK,N/A,1511,3,1,95
Built-up  Area,Ready To Move,"Gulshan 2, Gulshan, Dhaka",3 BHK,N/A,1300,3,1,58
Super built-up  Area,19-Dec,"Block B, Aftab Nagar, Dhaka",3 BHK,N/A,1545,3,1,68.75
Built-up  Area,Ready To Move,"Naya Paltan, Motijheel, Dhaka",1 BHK,N/A,375,2,0,26
Super built-up  Area,Ready To Move,"Sector 13, Uttara, Dhaka",2 BHK,N/A,1062,2,3,38
Super built-up  Area,Ready To Move,"Gulshan 2, Gulshan, Dhaka",2 BHK,N/A,1115,2,1,40
Super built-up  Area,Ready To Move,"Sector 7, Uttara, Dhaka",2 BHK,N/A,1000,2,1,35
Super built-up  Area,17-May,"Tikatuli, Sutrapur, Dhaka",2 BHK,N/A,883,2,1,45
Super built-up  Area,19-Apr,"Shantinagar, Dhaka",2 BHK,N/A,1195,2,1,70
Plot  Area,Ready To Move,"Shegunbagicha, Dhaka",4 Bedroom,N/A,1200,3,1,165
Built-up  Area,Ready To Move,"Block D, Bashundhara R-A, Dhaka",1 Bedroom,N/A,700,1,0,41
